DOI,Ano,WE,W-graphite,W-GCE,W-G,W-GO,W-rGO,W-Au,W-Cu,W-Pd,W-C,W-In,W-Sn,W-F,W-Fe,W-Ni,W-Polymer,W-Ti,W-N,W-Pt,W-Si,W-Al,W-graphene,Material,OH,O,La,Ni,Na,Zn,Cd,Ca,Pt,Ir,Pd,C,Cu,Ag,Ru,Al,Rh,Au,Co,Mn,Br,Mg,B,Fe,Pb,Zr,Ce,S,Si,N,V,Nb,Ta,Sn,P,In,Ti,Bi,Sb,Cr,W,Mo,Se,Ge,Te,Org,Polymer,Aniline,rGO,GO,G,MOF,Nano,CNT,Eletrolyte,pH,El_conc,reference,Pot_Onset_V (SHE),Pot_Ox_V (SHE),Ox_Onset,J__mA_cm,methanol,ethanol,concentration,analyte
10.3390/molecules28020471,2023,G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cu-Au-Pd,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.245,0.004,0.249,7.34,1,0,1,methanol
10.3390/molecules28020471,2023,Pd/C,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.212,0.019,0.231,1.446,1,0,1,methanol
10.3390/molecules28020471,2023,G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cu-Au-Pd,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.315,-0.087,0.228,11.114,0,1,1,ethanol
10.3390/molecules28020471,2023,Pd/C,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.292,-0.0439999999999999,0.248,1.69,0,1,1,ethanol
10.1039/D2RA08035D,2023,Polymer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12,0.1,Ag/AgCl,,0.659,0.659,3.5,1,0,1,methanol
10.1021/acs.energyfuels.3c00249,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mn-Co-Cu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,0.599,0.699,0.1,31.71,1,0,1,methanol
10.1039/D3NJ00032J,2023,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RuNiO3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Hg/HgO,1.24,,,350,0,1,0.1,ethanol
10.21926/cr.2301005,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Pd-Ni-B,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.386,-0.316,0.07,1.99,0,1,1,ethanol
10.21926/cr.2301005,2023,Pd/C,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.196,-0.186,0.01,1.17,0,1,1,ethanol
10.1016/j.ijhydene.2022.10.237,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PtRu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,,,,,29.17,0,1,1,ethanol
